congress,measure_type,measure_number,measure_id,origin_chamber,current_chamber,orig_publish_date,update_date,title,action_date,action_desc,summary_text,topic_tags,text_chunk
119,House Concurrent Resolution,1,id119hconres1,HOUSE,HOUSE,1/3/2025,1/23/2025,Regarding consent to assemble outside the seat of government.,1/3/2025,Introduced in House,"<p>This concurrent resolution authorizes Congress to assemble at a place outside Washington, DC, during the 119th Congress if the Speaker of the House and the Senate Majority Leader agree that it is in the public interest.&nbsp;The concurrent resolution provides that&nbsp;the Speaker of the House and the Senate Majority Leader shall act jointly after consultation with the House and Senate Minority Leaders.</p>","['Congress', 'Government Operations and Politics', 'Arts, Culture, Religion']","<p>This concurrent resolution authorizes Congress to assemble at a place outside Washington, DC, during the 119th Congress if the Speaker of the House and the Senate Majority Leader agree that it is in the public interest.&nbsp;The concurrent resolution provides that&nbsp;the Speaker of the House and the Senate Majority Leader shall act jointly after consultation with the House and Senate Minority Leaders.</p>"
119,House Concurrent Resolution,11,id119hconres11,HOUSE,HOUSE,2/11/2025,3/3/2025,Providing for a joint session of Congress to receive a message from the President.,2/11/2025,Introduced in House,"<p>This concurrent resolution provides for a joint session of Congress on Tuesday, March 4, 2025, to receive a message from the President.</p>","['Congress', 'Commemorations', 'Economics and Public Finance']","<p>This concurrent resolution provides for a joint session of Congress on Tuesday, March 4, 2025, to receive a message from the President.</p>"
119,House Concurrent Resolution,12,id119hconres12,HOUSE,HOUSE,2/13/2025,2/25/2025,Supporting the Local Radio Freedom Act.,2/13/2025,Introduced in House,"<p>This concurrent resolution declares that Congress should not impose any new performance fee, tax, royalty, or other charge relating to the public performance of sound recordings on a local radio station for broadcasting sound recordings over the air, or on any business for such public performance of sound recordings.</p>","['Science, Technology, Communications', 'Arts, Culture, Religion', 'Government Operations and Politics']","<p>This concurrent resolution declares that Congress should not impose any new performance fee, tax, royalty, or other charge relating to the public performance of sound recordings on a local radio station for broadcasting sound recordings over the air, or on any business for such public performance of sound recordings.</p>"
119,House Concurrent Resolution,14,id119hconres14,HOUSE,HOUSE,2/18/2025,2/25/2025,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,2/18/2025,Introduced in House,"<p>This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts.&nbsp;</p><p>The resolution recommends levels and amounts for FY2025-FY2034 for</p><ul><li>federal revenues,</li><li>new budget authority,</li><li>budget outlays,</li><li>deficits,</li><li>debt subject to limit,&nbsp;</li><li>debt held by the public, and</li><li>the major functional categories of spending.</li></ul><p>The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee by March 27, 2025.&nbsp;</p><p>(Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)</p><p>In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.</p><p>The resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved).&nbsp;</p><p>Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service.&nbsp;</p>","['Economics and Public Finance', 'Congress', 'Finance and Financial Sector']","<p>This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts.&nbsp;</p><p>The resolution recommends levels and amounts for FY2025-FY2034 for</p><ul><li>federal revenues,</li><li>new budget authority,</li><li>budget"
119,House Concurrent Resolution,14,id119hconres14,HOUSE,HOUSE,2/18/2025,2/25/2025,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,2/18/2025,Introduced in House,"<p>This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts.&nbsp;</p><p>The resolution recommends levels and amounts for FY2025-FY2034 for</p><ul><li>federal revenues,</li><li>new budget authority,</li><li>budget outlays,</li><li>deficits,</li><li>debt subject to limit,&nbsp;</li><li>debt held by the public, and</li><li>the major functional categories of spending.</li></ul><p>The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee by March 27, 2025.&nbsp;</p><p>(Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)</p><p>In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.</p><p>The resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved).&nbsp;</p><p>Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service.&nbsp;</p>","['Economics and Public Finance', 'Congress', 'Finance and Financial Sector']","budget authority,</li><li>budget outlays,</li><li>deficits,</li><li>debt subject to limit,&nbsp;</li><li>debt held by the public, and</li><li>the major functional categories of spending.</li></ul><p>The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee"
119,House Concurrent Resolution,14,id119hconres14,HOUSE,HOUSE,2/18/2025,2/25/2025,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,2/18/2025,Introduced in House,"<p>This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts.&nbsp;</p><p>The resolution recommends levels and amounts for FY2025-FY2034 for</p><ul><li>federal revenues,</li><li>new budget authority,</li><li>budget outlays,</li><li>deficits,</li><li>debt subject to limit,&nbsp;</li><li>debt held by the public, and</li><li>the major functional categories of spending.</li></ul><p>The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee by March 27, 2025.&nbsp;</p><p>(Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)</p><p>In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.</p><p>The resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved).&nbsp;</p><p>Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service.&nbsp;</p>","['Economics and Public Finance', 'Congress', 'Finance and Financial Sector']","the legislation to the House Budget Committee by March 27, 2025.&nbsp;</p><p>(Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)</p><p>In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.</p><p>The resolution also requires the maximum deficit"
119,House Concurrent Resolution,14,id119hconres14,HOUSE,HOUSE,2/18/2025,2/25/2025,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,2/18/2025,Introduced in House,"<p>This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts.&nbsp;</p><p>The resolution recommends levels and amounts for FY2025-FY2034 for</p><ul><li>federal revenues,</li><li>new budget authority,</li><li>budget outlays,</li><li>deficits,</li><li>debt subject to limit,&nbsp;</li><li>debt held by the public, and</li><li>the major functional categories of spending.</li></ul><p>The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee by March 27, 2025.&nbsp;</p><p>(Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)</p><p>In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.</p><p>The resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved).&nbsp;</p><p>Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service.&nbsp;</p>","['Economics and Public Finance', 'Congress', 'Finance and Financial Sector']","resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved).&nbsp;</p><p>Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to"
119,House Concurrent Resolution,14,id119hconres14,HOUSE,HOUSE,2/18/2025,2/25/2025,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,2/18/2025,Introduced in House,"<p>This concurrent resolution establishes the congressional budget for the federal government for FY2025, sets forth budgetary levels for FY2026-FY2034, and provides reconciliation instructions for legislation that increases or decreases the deficit and increases the statutory debt limit by specified amounts.&nbsp;</p><p>The resolution recommends levels and amounts for FY2025-FY2034 for</p><ul><li>federal revenues,</li><li>new budget authority,</li><li>budget outlays,</li><li>deficits,</li><li>debt subject to limit,&nbsp;</li><li>debt held by the public, and</li><li>the major functional categories of spending.</li></ul><p>The resolution includes reconciliation instructions that direct 11 House committees to submit legislation that will increase or decrease the deficit over FY2025-FY2034 and increase the statutory debt limit by specified amounts. The committees must submit the legislation to the House Budget Committee by March 27, 2025.&nbsp;</p><p>(Under current law, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)</p><p>In addition, the resolution establishes a reserve fund that allows certain adjustments to committee allocations and other budgetary levels to accommodate reconciliation legislation.</p><p>The resolution also requires the maximum deficit increase permitted by the reconciliation instruction for the House Ways and Means Committee ($4.5 trillion in the resolution) to be reduced if the proposals submitted by certain committees do not achieve a total of at least $2 trillion in net deficit reduction (or increased if more than $2 trillion in deficit reduction is achieved).&nbsp;</p><p>Finally, the resolution sets forth budget enforcement procedures that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service.&nbsp;</p>","['Economics and Public Finance', 'Congress', 'Finance and Financial Sector']",that address issues such as adjustments to committee allocations and the budgetary treatment of the discretionary administrative expenses for the Social Security Administration and the U.S. Postal Service.&nbsp;</p>
119,House Concurrent Resolution,2,id119hconres2,HOUSE,HOUSE,1/3/2025,2/7/2025,Reclaiming Congress’s Constitutional Mandate in Trade Resolution,1/3/2025,Introduced in House,<p><strong>Reclaiming Congress’s Constitutional Mandate in Trade Resolution</strong></p><p>This concurrent resolution establishes a process for transferring the functions and responsibilities of the Office of the Trade Representative (USTR) from the executive branch to the legislative branch. The concurrent resolution establishes the Joint Ad Hoc Committee on Trade Responsibilities and the Congressional Advisory Board on Trade Responsibilities to plan for and implement the transfer.</p><p>The Joint Ad Hoc Committee on Trade Responsibilities shall consist of 14 members of Congress appointed by majority and minority party leaders of the two chambers of Congress&nbsp;and meeting qualifications specified in the bill. The committee shall develop a plan under which the functions and responsibilities of the USTR shall be moved and provide its plan in a report to Congress within 16 months after the committee is appointed.&nbsp;</p><p>The bill also establishes a 21-member Congressional Advisory Board on Trade Responsibilities responsible for advising the committee in its development of the plan. Individuals meeting qualifications specified in the bill shall be appointed by the Trade Representative and majority and minority party leaders.</p><p>The concurrent resolution also provides that the USTR shall provide such information and assistance the committee and the advisory board may reasonably require to carry out their activities.</p><p>The transition of the USTR to the legislative branch occurs four years after the committee submits its report.</p>,"['Congress', 'Economics and Public Finance', 'Finance and Financial Sector']",<p><strong>Reclaiming Congress’s Constitutional Mandate in Trade Resolution</strong></p><p>This concurrent resolution establishes a process for transferring the functions and responsibilities of the Office of the Trade Representative (USTR) from the executive branch to the legislative branch. The concurrent resolution establishes the Joint Ad Hoc Committee on Trade Responsibilities and the Congressional Advisory Board on Trade Responsibilities to plan for and implement the transfer.</p><p>The
119,House Concurrent Resolution,2,id119hconres2,HOUSE,HOUSE,1/3/2025,2/7/2025,Reclaiming Congress’s Constitutional Mandate in Trade Resolution,1/3/2025,Introduced in House,<p><strong>Reclaiming Congress’s Constitutional Mandate in Trade Resolution</strong></p><p>This concurrent resolution establishes a process for transferring the functions and responsibilities of the Office of the Trade Representative (USTR) from the executive branch to the legislative branch. The concurrent resolution establishes the Joint Ad Hoc Committee on Trade Responsibilities and the Congressional Advisory Board on Trade Responsibilities to plan for and implement the transfer.</p><p>The Joint Ad Hoc Committee on Trade Responsibilities shall consist of 14 members of Congress appointed by majority and minority party leaders of the two chambers of Congress&nbsp;and meeting qualifications specified in the bill. The committee shall develop a plan under which the functions and responsibilities of the USTR shall be moved and provide its plan in a report to Congress within 16 months after the committee is appointed.&nbsp;</p><p>The bill also establishes a 21-member Congressional Advisory Board on Trade Responsibilities responsible for advising the committee in its development of the plan. Individuals meeting qualifications specified in the bill shall be appointed by the Trade Representative and majority and minority party leaders.</p><p>The concurrent resolution also provides that the USTR shall provide such information and assistance the committee and the advisory board may reasonably require to carry out their activities.</p><p>The transition of the USTR to the legislative branch occurs four years after the committee submits its report.</p>,"['Congress', 'Economics and Public Finance', 'Finance and Financial Sector']",to plan for and implement the transfer.</p><p>The Joint Ad Hoc Committee on Trade Responsibilities shall consist of 14 members of Congress appointed by majority and minority party leaders of the two chambers of Congress&nbsp;and meeting qualifications specified in the bill. The committee shall develop a plan under which the functions and responsibilities of the USTR shall be moved and provide its plan in a report to Congress within 16 months after the committee is appointed.&nbsp;</p><p>The
