Model,Query,Title,Bill ID,Snippet,Summary,Cosine,BERTScore,,,,,
qwen,What legislation addresses climate change or clean energy incentives?,America's Clean Future Fund Act,id116s4484,"America's Clean Future Fund Act This bill imposes various standards and programs related to clean energy, climate change resiliency, and emissions standards, including by 1 establishing the Climate Change Finance Corporation to finance clean energy and climate change resiliency activities; 2 establishing a carbon fee and emissions targets on the use, sale, or transfer of certain fuels by specified entities; and 3 providing grants to eligible entities for transition assistance to a low-carbon
America's Clean Future Fund Act This bill establishes requirements and incentives to reduce greenhouse gas emissions and assist industries, communities, and workers transition to a low-carbon economy, including by establishing 1 the Climate Change Finance Corporation C2FC; 2 the America's Clean Future Fund; and 3 a carbon fee on the use, sale, or transfer of certain fuels by covered entities. The bill provides appropriations to the C2FC, an independent agency, which must finance clean energy and
Am","The America's Clean Future Fund Act creates a Climate Change Finance Corporation (C2FC) and an America's Clean Future Fund to incentivize reducing greenhouse gas emissions and assisting industries, communities, and workers in transitioning to a low-carbon economy through funding for clean energy projects and a carbon fee on fuel usage. This bill aims to address climate change by setting up financial mechanisms to support sustainable practices and job creation within the renewable energy sector while imposing a tax on fossil fuels to encourage their reduction.",0.8775,0.8891,,,,,
qwen,What legislation addresses climate change or clean energy incentives?,CLEAN Future Act,id117hr1512,"The bill also establishes a variety of requirements, programs, and incentives to reduce or eliminate greenhouse gas emissions by modernizing the electric grid and supporting clean energy microgrids; increasing the use of renewable energy and advanced nuclear power technologies; increasing energy efficiency in buildings, homes, and appliances; supporting clean transportation, including electric vehicles and related charging infrastructure; issuing greenhouse gas standards for certain vehicles,
Climate Leadership and Environmental Action for our Nation""s Future Act or the CLEAN Future Act This bill creates requirements and incentives to reduce emissions of greenhouse gases. The bill establishes an interim goal to reduce greenhouse gas emissions to at least 50 below 2005 levels by 2030 as well as a national goal to achieve net-zero greenhouse gas emissions by 2050. Each federal agency must develop a plan to achieve the goals. Beginning in 2023, retail electricity suppliers must provide","The Climate Leadership and Environmental Action for our Nation""s Future Act (CLEAN Future Act) sets interim and long-term goals to reduce greenhouse gas emissions through various measures such as modernizing the electric grid, promoting renewable energy, improving energy efficiency, and advancing clean transportation. Retail electricity suppliers must offer customers cleaner options starting in 2023.",0.7657,0.9021,,,,,
falcon,What legislation addresses climate change or clean energy incentives?,America's Clean Future Fund Act,id116s4484,"America's Clean Future Fund Act This bill imposes various standards and programs related to clean energy, climate change resiliency, and emissions standards, including by 1 establishing the Climate Change Finance Corporation to finance clean energy and climate change resiliency activities; 2 establishing a carbon fee and emissions targets on the use, sale, or transfer of certain fuels by specified entities; and 3 providing grants to eligible entities for transition assistance to a low-carbon
America's Clean Future Fund Act This bill establishes requirements and incentives to reduce greenhouse gas emissions and assist industries, communities, and workers transition to a low-carbon economy, including by establishing 1 the Climate Change Finance Corporation C2FC; 2 the America's Clean Future Fund; and 3 a carbon fee on the use, sale, or transfer of certain fuels by covered entities. The bill provides appropriations to the C2FC, an independent agency, which must finance clean energy and
Am",This bill establishes a Climate Change Finance Corporation to finance clean energy and climate change resiliency activities. The bill also establishes a Climate Change Finance Corporation Advisory Committee to advise the C2FC on its activities.,0.7742,0.875,,,,,
falcon,What legislation addresses climate change or clean energy incentives?,CLEAN Future Act,id117hr1512,"The bill also establishes a variety of requirements, programs, and incentives to reduce or eliminate greenhouse gas emissions by modernizing the electric grid and supporting clean energy microgrids; increasing the use of renewable energy and advanced nuclear power technologies; increasing energy efficiency in buildings, homes, and appliances; supporting clean transportation, including electric vehicles and related charging infrastructure; issuing greenhouse gas standards for certain vehicles,
Climate Leadership and Environmental Action for our Nation""s Future Act or the CLEAN Future Act This bill creates requirements and incentives to reduce emissions of greenhouse gases. The bill establishes an interim goal to reduce greenhouse gas emissions to at least 50 below 2005 levels by 2030 as well as a national goal to achieve net-zero greenhouse gas emissions by 2050. Each federal agency must develop a plan to achieve the goals. Beginning in 2023, retail electricity suppliers must provide","The bill establishes a variety of requirements, programs, and incentives to reduce or eliminate greenhouse gas emissions by modernizing the electric grid and supporting clean energy microgrids; increasing the use of renewable energy and advanced nuclear power technologies; increasing energy efficiency in buildings, homes, and appliances; supporting clean transportation, including electric vehicles and related charging infrastructure; issuing greenhouse gas standards for certain vehicles, and
--- Bill Details ---
The bill also establishes a variety of requirements, programs, and incentives to reduce or eliminate greenhouse gas emissions by modernizing the electric grid and supporting clean energy microgrids; increasing the use of renewable energy and advanced nuclear power technologies; increasing energy efficiency in buildings, homes, and appliances; supporting clean transportation, including electric vehicles and related charging infrastructure; issuing greenhouse gas standards for certain vehicles, and
--- Bill Details ---
The bill also establishes a variety of requirements, programs, and incentives to reduce or eliminate greenhouse gas emissions by modernizing the electric grid and supporting clean energy microgrids; increasing the use of renewable energy and advanced nuclear power technologies; increasing energy efficiency in buildings, homes, and appliances; supporting clean transportation, including electric vehicles and related charging infrastructure; issuing greenhouse gas standards for certain vehicles, and
--- Bill Details ---
The bill also establishes a variety of requirements, programs, and incentives to reduce or eliminate greenhouse gas emissions by modernizing the electric grid and supporting clean energy microgrids; increasing the use of renewable energy and advanced nuclear power technologies; increasing energy efficiency",0.8208,0.8817,,,,,
qwen,What bills expand healthcare access for rural communities?,ASK Act,id115hr4820,"the ""home-health rural add-on""; makes permanent or extends other specified programs and payment rules under Medicare; under Medicaid, extends certain health workforce demonstration projects as well as specified programs related to community health centers, diabetes, graduate medical education, family-to-family health-information centers, abstinence education, and personal-responsibility education; delays certain changes, under Medicaid, to disproportionate-share hospital allotments and to","The bill extends several existing Medicare and Medicaid programs and policies, including those related to home healthcare in rural areas, health workforce demonstrations, and specific health initiatives like diabetes care and family planning services. It also temporarily maintains certain aspects of Medicaid that were set to change.",0.765,0.8664,,,,,
qwen,What bills expand healthcare access for rural communities?,HEART Act,id117hr9034,"Healthcare Enhancement for Americas Rural Towns Act or the HEART Act This bill permanently extends and otherwise revises the Medicare-Dependent Hospital program, which provides additional payments to certain small rural hospitals that have a high proportion of Medicare patients. The bill also temporarily extends certain increased payment adjustments for low-volume hospitals under Medicare's inpatient prospective payment system.
Healthcare Enhancement for Americas Rural Towns Act or the HEART Act This bill permanently extends and otherwise revises the Medicare-Dependent Hospital program which provides increased payments to certain smaller, rural hospitals that serve a proportionally high number of Medicare patients. The bill also extends through FY 2019 the program for increased payments under Medicare for low-volume hospitals.","The Healthcare Enhancement for Americas Rural Towns Act (HEART Act) permanently extends and revises the Medicare-dependent hospital program by providing additional payments to smaller, rural hospitals serving a high percentage of Medicare patients, with an extension for low-volume hospitals until FY 2019.",0.9356,0.9157,,,,,
falcon,What bills expand healthcare access for rural communities?,ASK Act,id115hr4820,"the ""home-health rural add-on""; makes permanent or extends other specified programs and payment rules under Medicare; under Medicaid, extends certain health workforce demonstration projects as well as specified programs related to community health centers, diabetes, graduate medical education, family-to-family health-information centers, abstinence education, and personal-responsibility education; delays certain changes, under Medicaid, to disproportionate-share hospital allotments and to",This bill would make permanent or extend certain programs and payment rules under Medicare. It would also make permanent or extend certain programs and payment rules under Medicaid.,0.6043,0.8568,,,,,
falcon,What bills expand healthcare access for rural communities?,HEART Act,id117hr9034,"Healthcare Enhancement for Americas Rural Towns Act or the HEART Act This bill permanently extends and otherwise revises the Medicare-Dependent Hospital program, which provides additional payments to certain small rural hospitals that have a high proportion of Medicare patients. The bill also temporarily extends certain increased payment adjustments for low-volume hospitals under Medicare's inpatient prospective payment system.
Healthcare Enhancement for Americas Rural Towns Act or the HEART Act This bill permanently extends and otherwise revises the Medicare-Dependent Hospital program which provides increased payments to certain smaller, rural hospitals that serve a proportionally high number of Medicare patients. The bill also extends through FY 2019 the program for increased payments under Medicare for low-volume hospitals.","The HEART Act would permanently extend and otherwise revise the Medicare-Dependent Hospital program, which provides additional payments to certain small rural hospitals that have a high proportion of Medicare patients. The bill would also temporarily extend through FY 2019 the program for increased payments under Medicare for low-volume hospitals.",0.8119,0.9331,,,,,
qwen,Are there any active or proposed bills for student loan forgiveness?,ASAP Forgiveness Act,id117s4342,"Affording Students A Path to Forgiveness Act or the ASAP Forgiveness Act This bill requires the Department of Education to cancel up to 30,000 of interest and principal due on any eligible Federal Direct Loan that is in repayment status for a borrower who 1 has made 60 monthly payments on the loan pursuant to any authorized repayment plan, and 2 has been employed for 10 years after graduating from or leaving the institution of higher education IHE for which the loan was made to enable the","The ASAP Forgiveness Act would allow up to 30,000 borrowers with 60 months of repayment under an approved plan to have their Federal Direct Loans canceled if they've worked at least 10 years since graduation or leaving school. This bill allows students who have completed a certain number of payments under a specific plan to have some of their student loans forgiven if they work for a minimum period after finishing school.",0.8675,0.8751,,,,,
qwen,Are there any active or proposed bills for student loan forgiveness?,College Affordability Act,id116hr4674,"repayment plan and one fixed repayment plan, allow existing borrowers to lower their payments by switching to the new plans, expand public service loan forgiveness programs e.g., TEACH grants, and create appeal processes for denied applications for loan forgiveness. In addition, the bill increases college access and success for certain students e.g., students with low-income, children, or disabilities through investments and practices, such as student support services and accelerated learning","The bill allows existing borrowers to switch to more affordable repayment plans, expands public service loan forgiveness programs, creates appeal processes for denied applications, and invests in college access and success for disadvantaged students.",0.8772,0.9115,,,,,
